Feature,Coefficient,Abs_Coefficient
OverallQual,8142.104255678505,8142.104255678505
PoolQC_Gd,-6513.570867836783,6513.570867836783
GrLivArea,5810.245498866556,5810.245498866556
Neighborhood_NridgHt,5642.465368246963,5642.465368246963
TotalSF,5087.223348264973,5087.223348264973
TotRmsAbvGrd,4699.759453423795,4699.759453423795
Neighborhood_NoRidge,4693.4913128739445,4693.4913128739445
GarageCars,4672.803759406132,4672.803759406132
Neighborhood_StoneBr,4497.498989753953,4497.498989753953
Condition2_PosN,-3791.009080662486,3791.009080662486
GarageArea,3775.363108125022,3775.363108125022
BsmtQual_Gd,-3749.0757300950245,3749.0757300950245
2ndFlrSF,3712.6753132148983,3712.6753132148983
1stFlrSF,3677.6824958472725,3677.6824958472725
BsmtExposure_Gd,3454.2677699505934,3454.2677699505934
KitchenQual_TA,-3353.8305499354683,3353.8305499354683
MasVnrArea,3283.0628734761167,3283.0628734761167
BsmtQual_TA,-3076.75521902819,3076.75521902819
Exterior2nd_ImStucc,3070.477332021478,3070.477332021478
TotalBath,3039.714113825729,3039.714113825729
ExterQual_TA,-2992.5375634287293,2992.5375634287293
RoofMatl_WdShngl,2951.992073128721,2951.992073128721
MSSubClass,-2935.344376897543,2935.344376897543
OverallCond,2847.935693821152,2847.935693821152
BsmtExposure_No,-2817.3171544038723,2817.3171544038723
LotArea,2767.2542689905135,2767.2542689905135
KitchenQual_Gd,-2763.887144368722,2763.887144368722
LandContour_HLS,2696.553001841868,2696.553001841868
FullBath,2667.229716043014,2667.229716043014
TotalBsmtSF,2608.089146578187,2608.089146578187
PoolArea,2602.9950035338784,2602.9950035338784
Fireplaces,2520.147006987362,2520.147006987362
BldgType_TwnhsE,-2518.1449681750005,2518.1449681750005
Neighborhood_Edwards,-2507.8690006680713,2507.8690006680713
BsmtFinType1_GLQ,2500.602172883052,2500.602172883052
BsmtFinSF1,2370.8864596497647,2370.8864596497647
WoodDeckSF,2357.505986490687,2357.505986490687
SaleCondition_Alloca,2303.1309287998433,2303.1309287998433
Condition1_Norm,2278.4927485068197,2278.4927485068197
Exterior1st_BrkFace,2256.200215983925,2256.200215983925
LotConfig_CulDSac,2251.2177691748625,2251.2177691748625
Neighborhood_Crawfor,2182.179274967489,2182.179274967489
Neighborhood_NAmes,-2130.0230465541244,2130.0230465541244
KitchenAbvGr,-2075.9064112914057,2075.9064112914057
BldgType_Twnhs,-1995.448430070812,1995.448430070812
SaleCondition_Partial,1925.2926384661794,1925.2926384661794
ScreenPorch,1913.1012620130716,1913.1012620130716
RoofStyle_Gable,-1893.771244777474,1893.771244777474
YearBuilt,1892.6347326153502,1892.6347326153502
HouseAge,-1878.216986710622,1878.216986710622
SaleType_New,1834.4323522584161,1834.4323522584161
YearRemodAdd,1741.418808939915,1741.418808939915
RemodelAge,-1722.78855360241,1722.78855360241
BldgType_Duplex,-1640.9957982294522,1640.9957982294522
HeatingQC_Gd,-1640.3687319758665,1640.3687319758665
HalfBath,1594.0275518876053,1594.0275518876053
GarageType_BuiltIn,1560.1226396583568,1560.1226396583568
LotShape_IR3,-1559.5889219407225,1559.5889219407225
Foundation_PConc,1542.109733756254,1542.109733756254
Functional_Typ,1525.1278752538797,1525.1278752538797
Neighborhood_Gilbert,-1464.334163674298,1464.334163674298
Exterior1st_CemntBd,1463.5753615051808,1463.5753615051808
Condition2_Norm,1462.0032257397977,1462.0032257397977
BsmtFinType1_Unf,-1461.8751822073934,1461.8751822073934
HasFireplace,1412.0442319072854,1412.0442319072854
